methods,Projected Tucker,Projected Tucker,Projected Tucker,Projected Tucker,Projected Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker,Vanilla Tucker
errors,A1,A2,A3,F,Y,A1,A2,A3,F,Y
J,,,,,,,,,,
2,0.342 (0.124),0.318 (0.140),0.352 (0.157),0.981 (0.428),0.428 (0.099),1.719 (0.006),1.718 (0.006),1.720 (0.006),3.568 (0.644),3.590 (0.617)
4,0.659 (0.221),0.666 (0.224),0.665 (0.200),1.192 (0.477),0.683 (0.219),1.719 (0.006),1.719 (0.006),1.718 (0.006),3.625 (0.770),3.619 (0.759)
8,1.068 (0.222),1.073 (0.223),1.066 (0.227),1.531 (0.361),1.142 (0.299),1.719 (0.006),1.719 (0.007),1.719 (0.005),3.703 (0.617),3.728 (0.635)
16,1.476 (0.200),1.464 (0.206),1.458 (0.195),1.886 (0.374),1.760 (0.419),1.718 (0.007),1.720 (0.006),1.719 (0.006),3.674 (0.745),3.689 (0.715)
