name,type,A_error_tucker 1,A_error_tucker 2,A_error_tucker 3,F_error_tucker,Y_error_tucker,A_error_ptucker 1,A_error_ptucker 2,A_error_ptucker 3,F_error_ptucker,Y_error_ptucker,G_1_error 1,G_1_error 2,G_1_error 3
Gamma_effect_I_200_R_3_SNR_0.3_ETA_0.01,mean,1.719070156105544,1.7183221634169008,1.7188100757528,3.677034940704404,3.7233984289580646,0.7532793096288777,0.7387186550191529,0.7417904347943307,1.2746550508306014,5.046459244388676,0.6351636327289103,1.0957093798457551,1.4327120795164623
Gamma_effect_I_200_R_3_SNR_0.3_ETA_0.01,std,0.005994592549480096,0.00637757983504908,0.006580695174184621,0.65305750729013,0.6323351365701495,0.2099542427289003,0.20394602263911008,0.21146516427909187,0.3782975110963412,1.4370083357109893,1.1142361295774788,1.2840637186303134,1.222523562410983
Gamma_effect_I_200_R_3_SNR_0.3_ETA_0.1,mean,1.7184026427717987,1.7177628577039463,1.718205356376013,3.6712182974013405,3.6696756001167388,1.6109248496407067,1.6112485486776529,1.608261761400291,1.27809512238338,7.203924344089208,1.8343403547263935,1.904755967405313,1.7898705706691058
Gamma_effect_I_200_R_3_SNR_0.3_ETA_0.1,std,0.0066885929557740946,0.00615627721491946,0.006043289366277588,0.7025522294549669,0.6844814478078334,0.04070239762516324,0.03643167141587963,0.03691414953778068,0.17265261667199366,1.464480749844583,0.6825186660584273,0.707525653965131,0.6527357971273063
Gamma_effect_I_200_R_3_SNR_0.3_ETA_1,mean,1.7184608160144963,1.7183024078790023,1.7188698939830676,3.793579996285201,3.800359276960983,1.7177955178811255,1.717481997731108,1.717953158734417,1.2936421594847543,7.530459817064398,1.8223334316265465,1.8143112914247734,1.7550268063037742
Gamma_effect_I_200_R_3_SNR_0.3_ETA_1,std,0.006700667937589911,0.006850726130997033,0.006325641102373077,0.7570889110873761,0.724436149607768,0.006544029392567939,0.0061621358507321766,0.006223573754316028,0.1678180878885799,1.509324885351637,0.7098672102120454,0.7409795506960203,0.6278502129815212
J_effect_I_200_R_3_SNR_0.3_J_16_16,mean,1.7183688115035938,1.7195386402306974,1.7185868282521901,3.674288533261044,3.689322548726044,1.476397620101996,1.4636135613824315,1.4577492948463568,1.8860428574363266,1.7604766675269719,1.4748857255188432,1.8770889317778676,1.9074694950178752
J_effect_I_200_R_3_SNR_0.3_J_16_16,std,0.006926860216849171,0.006288862182078323,0.006009907773532827,0.7450345767000931,0.7153418165988067,0.19996294165091796,0.20641174194620318,0.1954496494287522,0.37381579233580325,0.4187002389021667,1.070585800291056,0.6635054775729219,0.5042311135339194
J_effect_I_200_R_3_SNR_0.3_J_2_2,mean,1.7190219671768656,1.7184182735784146,1.7196182294675995,3.56823183669525,3.5897594103021926,0.34219061288733227,0.31777444803895966,0.35156309444458683,0.9812529379302346,0.4284946214448657,0.33538106981093796,0.49501013767105684,0.7879344395580512
J_effect_I_200_R_3_SNR_0.3_J_2_2,std,0.005740265180158163,0.005818471818048343,0.005829111043301005,0.6435864597250954,0.6168884309710594,0.12421034503705866,0.13972603325000033,0.15714434219362822,0.42779423157432866,0.09909143038307817,0.8656592152408232,0.9586536461762714,1.323353621354864
J_effect_I_200_R_3_SNR_0.3_J_4_4,mean,1.7188768104727328,1.7186113822668116,1.7182667298739054,3.62502526460309,3.6191609600611447,0.659107157407415,0.6661741179156221,0.6651273627937928,1.1916680299562248,0.682824806714084,0.6101959115349819,0.814715766008078,1.0300935013462356
J_effect_I_200_R_3_SNR_0.3_J_4_4,std,0.006082916210428165,0.005958766175544012,0.006115019470083771,0.7704957038454908,0.7592889464214033,0.22060513555069694,0.22424973022010003,0.20010771234387142,0.4768027473054815,0.21920047017829064,1.2164229635629333,1.225652240001672,1.1589222100455951
J_effect_I_200_R_3_SNR_0.3_J_8_8,mean,1.7188339276138171,1.7188172455746276,1.7190075885026963,3.7026798671676415,3.728137384874645,1.0677978811813609,1.073102560909678,1.0657649473616913,1.530620050178547,1.141743736842993,0.6959256639400803,1.451180084862211,1.6596418234444505
J_effect_I_200_R_3_SNR_0.3_J_8_8,std,0.006467021471958488,0.0065163399911068376,0.005460392301641001,0.6168586891734378,0.6346073709807258,0.22227828638642447,0.22333290260651134,0.2267004768027368,0.36114856442680765,0.2986252555940669,1.0610843919251685,1.1304216730538095,0.8564467102339798
growing_dimension_I_100_R_3_SNR_0.1,mean,1.70673883056455,1.7063753755788265,1.7041942808336292,7.86112945530276,7.8863891729555435,1.3026664468684757,1.2875151000626657,1.2764600656920704,2.66318545010314,2.4636916850116792,1.538991541708142,1.704921006019317,1.7990711075494585
growing_dimension_I_100_R_3_SNR_0.1,std,0.011399406056206454,0.01070612013236257,0.012918800489975853,1.7605803944980138,1.7453842291273611,0.13502111926203894,0.1562214134806046,0.1650713410849499,0.4937636230371597,0.5539048203349392,0.9281737056593288,0.7198427132965703,0.6472473726483908
growing_dimension_I_100_R_3_SNR_0.3,mean,1.7096289471977042,1.7038735416209982,1.7038953796755936,3.429164866407537,3.451041635810425,0.8511641561235074,0.8441288681070909,0.8666843318327659,1.4159665883545178,0.9686019168560687,0.7799901684350252,1.3143981704577845,1.4906068354365465
growing_dimension_I_100_R_3_SNR_0.3,std,0.01124305624826321,0.013488254980193307,0.013249084951679063,0.6901954002306925,0.6467961874253813,0.24370092692507153,0.24533564390097584,0.22226075916508425,0.4019926009271169,0.2746053552693088,1.1717912877680066,1.1705987493121572,1.0776926134315699
